"Name","Street Address","City","State","Zip","Latitude","Longitude"
"HIDDEN LAKE HIGH SCHOOL","7300 LOWELL BOULEVARD","WESTMINSTER","CO","80030",39.828426,-105.0330929
"COLORADO STEM ACADEMY","7281 IRVING STREET","WESTMINSTER","CO","80030",39.8283421,-105.0317371
"JOSEPHINE HODGKINS ELEMENTARY SCHOOL","3475 WEST 67TH AVENUE","DENVER","CO","80221",39.8192646,-105.0324755
"M. SCOTT CARPENTER MIDDLE SCHOOL","7001 LIPAN STREET","DENVER","CO","80221",39.8247655,-105.0030492
"MESA ELEMENTARY SCHOOL","9100 LOWELL BOULEVARD","WESTMINSTER","CO","80030",39.861239,-105.033601
"IVER C. RANUM MIDDLE SCHOOL","2401 WEST 80TH AVENUE","DENVER","CO","80221",39.8436826,-105.0171929
"FLYNN ELEMENTARY SCHOOL","8731 LOWELL BOULEVARD","WESTMINSTER","CO","80030",39.8549428,-105.0350906
"SHAW HEIGHTS MIDDLE SCHOOL","8780 CIRCLE DRIVE","WESTMINSTER","CO","80030",39.855668,-105.0374126
"SHERRELWOOD ELEMENTARY SCHOOL","8095 KALAMATH DRIVE","DENVER","CO","80221",39.8437022,-105.001271
"SKYLINE VISTA ELEMENTARY SCHOOL","7395 ZUNI STREET","DENVER","CO","80221",39.80200139999999,-105.0156407
"SUNSET RIDGE ELEMENTARY SCHOOL","9451 HOOKER STREET","WESTMINSTER","CO","80030",39.86906390000001,-105.029019
"TENNYSON KNOLLS ELEMENTARY SCHOOL","6330 TENNYSON STREET","ARVADA","CO","80003",39.8114816,-105.0432476
"WESTMINSTER ELEMENTARY SCHOOL","7482 IRVING STREET","WESTMINSTER","CO","80030",39.8323968,-105.0290922
"WESTMINSTER HIGH SCHOOL","4276 WEST 68TH AVENUE","WESTMINSTER","CO","80030",39.822135,-105.041371
"ORTEGA MIDDLE SCHOOL","401 VICTORIA AVENUE","ALAMOSA","CO","81101",37.476944,-105.8856685
"ALAMOSA ELEMENTARY SCHOOL","1709 WEST 10TH STREET","ALAMOSA","CO","81101",37.4623601,-105.8847822
"ALAMOSA HIGH SCHOOL","805 CRAFT DRIVE","ALAMOSA","CO","81101",37.48363150000001,-105.8948946
"ALAMOSA OMBUDSMAN SCHOOL OF EXCELLENCE","2431 MAIN STREET","ALAMOSA","CO","81101",37.4765895,-105.8927347
"SANGRE DE CRISTO ELEMENTARY SCHOOL","8751 Lane 7 N","MOSCA","CO","81146",37.676969,-105.8785636
"SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL","8751 Lane 7 N","MOSCA","CO","81146",37.676969,-105.8785636
"COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL","2323 WEST BAKER","ENGLEWOOD","CO","80110",39.6723378,-105.0148919
"CHARLES HAY WORLD SCHOOL","3195 SOUTH LAFAYETTE STREET","ENGLEWOOD","CO","80113",39.6586517,-104.9721935
"CHERRELYN ELEMENTARY SCHOOL","4500 SOUTH LINCOLN STREET","ENGLEWOOD","CO","80113",39.6340939,-104.9860677
"CLAYTON ELEMENTARY SCHOOL","4600 SOUTH FOX STREET","ENGLEWOOD","CO","80110",39.632333,-104.993545
"ENGLEWOOD HIGH SCHOOL","3800 SOUTH LOGAN STREET","ENGLEWOOD","CO","80113",39.6473657,-104.9815464
"ENGLEWOOD LEADERSHIP ACADEMY","3800 S. LOGAN","ENGLEWOOD","CO","80113",39.6473657,-104.9815464
"ENGLEWOOD MIDDLE SCHOOL","300 WEST CHENANGO","ENGLEWOOD","CO","80110",39.627243,-104.9906934
"ENGLEWOOD EARLY CHILDHOOD EDUCATION CENTER AT MADDOX","700 W. MANSFIELD","ENGLEWOOD","CO","80110",39.6462887,-104.9966881
"WM E BISHOP ELEMENTARY SCHOOL","3100 SOUTH ELATI STREET","ENGLEWOOD","CO","80110",39.6595874,-104.9930335
"SHERIDAN ELEMENTARY","3700 SOUTH KNOX COURT","ENGLEWOOD","CO","80150",39.6487628,-105.03154
"FORT LOGAN NORTHGATE","4107 SOUTH FEDERAL BOULEVARD","ENGLEWOOD","CO","80150",39.6404188,-105.0267209
"SHERIDAN HIGH SCHOOL","3201 WEST OXFORD AVENUE","DENVER","CO","80236",39.6440953,-105.0294875
"EARLY CHILDHOOD EDUCATION CENTER","4000 SOUTH LOWELL BOULEVARD","ENGLEWOOD","CO","80150",39.6438283,-105.0346378
